#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
1E|BCH1A|55.832432|-120.258957|689.0|Z|2019-10-04T23:14:00|2021-10-01T23:59:59
1E|BCH1B|55.83242|-120.258888|692.0|Z|2019-10-04T23:14:00|2021-10-01T23:59:59
1E|BCH2A|55.946072|-120.356102|761.0|Z|2019-10-05T00:13:00|2021-10-01T23:59:59
1E|BCH2B|55.94606|-120.355942|763.0|Z|2019-10-05T00:13:00|2021-10-01T23:59:59
1E|MONT1|55.910149|-120.58654|697.0|Z|2018-10-01T22:20:08|2021-10-01T23:59:59
1E|MONT2|56.019718|-120.046967|642.0|Z|2018-10-01T22:24:00|2021-10-01T23:59:59
1E|MONT3|56.005779|-120.45388|783.0|Z|2018-10-01T19:17:21|2021-10-01T23:59:59
1E|MONT6|56.110291|-121.016991|650.0|Z|2018-10-03T19:23:00|2021-10-01T23:59:59
1E|MONT8|56.06731|-120.777428|695.0|Z|2019-07-15T16:15:44|2021-10-01T23:59:59
1E|MONT9|55.803902|-120.538757|832.0|Z|2019-10-07T20:20:10|2021-10-01T23:59:59
1E|MONTA|56.104321|-121.070038|651.0|Z|2019-10-05T20:25:00|2021-10-01T23:59:59
CN|NBC4|55.687279|-120.66024|815.0|Northern British Columbia Site Four|2013-03-01T00:00:00|2599-12-31T23:59:59
CN|NBC7|56.267792|-120.842621|676.0|Northern British Columbia Site Seven|2014-08-10T00:00:00|2599-12-31T23:59:59
EO|FSJ1|56.346652|-120.66632|685.0|Z|2018-12-10T18:37:05|2599-12-31T23:59:59
EO|FSJ2|56.408176|-121.077328|766.0|Z|2018-12-10T18:38:58|2599-12-31T23:59:59
EO|KSM01|56.021006|-120.553675|773.0|Tower Lake, BC Canada|2020-03-07T02:10:00|2599-12-31T23:59:59
EO|KSM02|55.8866|-120.4407|730.0|Z|2020-05-06T18:51:16|2599-12-31T23:59:59
EO|KSM03|55.839976|-120.138016|652.0|Z|2020-03-11T22:27:16|2599-12-31T23:59:59
EO|KSM04|55.773928|-120.644312|705.0|Z|2020-03-10T16:24:24|2599-12-31T23:59:59
EO|KSM05|55.792744|-120.2098|759.0|Z|2020-03-12T23:53:53|2599-12-31T23:59:59
EO|KSM06|55.950092|-120.712856|752.0|Z|2020-03-14T21:39:11|2599-12-31T23:59:59
EO|KSM07|56.002|-120.920942|803.0|Z|2020-01-19T19:20:00|2599-12-31T23:59:59
EO|KSM08|56.020378|-120.130618|718.0|Z|2020-01-16T21:29:06|2599-12-31T23:59:59
EO|KSM09|56.16734|-120.279628|644.0|Z|2020-01-21T02:23:00|2599-12-31T23:59:59
EO|KSM10|56.082447|-120.784439|715.0|Z|2020-01-18T17:46:27|2599-12-31T23:59:59
EO|KSM11|55.950116|-120.451272|677.0|Z|2020-03-08T22:53:50|2599-12-31T23:59:59
EO|KSM12|55.872664|-120.667848|706.0|Z|2020-05-05T20:52:48|2599-12-31T23:59:59
EO|KSM13|55.978668|-120.318704|683.0|Z|2020-03-15T23:48:52|2599-12-31T23:59:59
GD|FTSJ|56.254902|-120.848701|19.0|Fort St. John, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
XL|MG01|56.05484|-120.637993|721.0|Z|2017-06-19T03:12:26|2020-12-31T23:59:59
XL|MG02|55.866791|-120.083992|642.0|ARC (12-36-79-15)|2017-06-14T12:59:00|2020-12-31T23:59:59
XL|MG03|55.912151|-120.44136|697.0|Z|2017-06-16T19:40:00|2020-12-31T23:59:59
XL|MG04|55.99136|-120.338043|682.0|Z|2017-06-17T19:33:00|2020-12-31T23:59:59
XL|MG05|55.895142|-120.301949|795.0|Z|2017-06-15T21:15:00|2020-12-31T23:59:59
XL|MG06|55.87212|-120.041481|639.0|Z|2018-06-22T17:50:00|2020-12-31T23:59:59
XL|MG07|55.783562|-120.40242|749.0|Z|2017-08-02T17:30:00|2020-12-31T23:59:59
XL|MG08|55.84116|-120.87307|722.0|Z|2017-06-14T13:00:00|2020-12-31T23:59:59
XL|MG09|55.74419|-120.779617|795.0|Z|2017-06-18T20:53:40|2020-12-31T23:59:59
XL|MG10|55.722851|-120.063347|798.0|Z|2019-10-01T18:30:02|2020-12-31T23:59:59
XL|MG11|55.86168|-120.11468|657.0|Z|2020-09-01T12:00:00|2022-06-30T23:59:59
XL|RU01|56.145069|-120.480042|612.0|Z|2019-07-30T13:49:49|2020-12-31T23:59:59
XL|RU02|56.131989|-120.188187|611.0|Z|2019-07-30T13:49:51|2020-12-31T23:59:59
XL|RU03|55.807442|-121.134506|795.0|Z|2019-09-26T18:35:00|2020-12-31T23:59:59
XL|RU04|55.961369|-121.038788|892.0|Z|2019-10-03T20:45:00|2020-12-31T23:59:59
XL|RU05|56.180611|-120.733391|606.0|Z|2019-10-04T19:27:41|2020-12-31T23:59:59
XL|RU06|55.98959|-120.526909|773.0|Z|2019-09-29T17:23:55|2020-12-31T23:59:59
